date,retweets,source,author,likes
6/18/2020 12:44,1,Twitter for iPhone,Weather and Climatology,5
6/18/2020 11:22,0,Twitter Web App,Climate change 2020,0
6/16/2020 6:27,0,IFTTT,prepperbot,0
6/15/2020 12:01,0,Loomly,E2C,6
6/11/2020 11:46,17,Twitter Web App,GO GREEN,21
6/6/2020 4:04,0,Twitter for iPhone,top_hand,0
6/5/2020 22:05,0,Twitter for iPhone,Emmanuel Kpana Sinah,1
6/5/2020 13:54,0,Twitter Web App,Jerzy H. Czembor,0
6/5/2020 13:21,0,Twitter Web App,Helen Sikavitsa,0
6/1/2020 18:30,1,Hootsuite Inc.,Green Teacher,9
5/31/2020 6:11,0,Twitter for Android,Dr.Narendra Meena,0
5/29/2020 17:30,5,TweetDeck,TRF Climate,7
5/28/2020 4:23,2,Twitter for Android,Saurabh Bhardwaj,1
5/26/2020 0:02,1,Twitter Web App,Sanchali Pal,5
5/25/2020 8:55,0,Spreaker,American Soundbite,0
5/22/2020 0:25,0,FS Poster,CoronaVirusNewsLive.com,1
5/20/2020 18:33,0,LinkedIn,Zsolt Lengyel,0
5/20/2020 9:22,0,PromotePictures,IsaZiets,1
5/20/2020 0:15,1,Hootsuite Inc.,Daily Climate,0
5/19/2020 15:30,0,Twitter Web Client,Beyond_Animal,0
5/19/2020 10:40,1,Hootsuite Inc.,Daily Climate,2
5/19/2020 7:44,1,Twitter Web App,Treenvest.org,1
5/19/2020 6:37,0,Twitter Web App,Scientific Publishers,3
5/18/2020 11:32,0,Twitter Web App,Danyhilton,2
5/17/2020 20:45,0,Twitter for Android,Abdikarim,0
5/17/2020 9:28,0,Twitter for iPhone,Darryl Ellis,0
5/14/2020 21:47,0,Twitter Web App,The Green Swan,1
5/14/2020 6:25,10,Twitter Web App,Divya Hari,43
5/13/2020 13:47,0,Twitter Web Client,Pablo  Casaux,0
5/12/2020 17:36,0,Twitter Web App,Dinesh C Srivastava,0
5/12/2020 14:01,0,Twitter Web App,Harm Saeijs NL #NetZero2030 (our house is on fire),0
5/11/2020 19:50,0,Twitter Web Client,Divya Hari,0
5/11/2020 8:23,0,Twitter Web App,Treenvest.org,0
5/10/2020 1:42,1,Twitter Web App,john,0
5/5/2020 22:02,0,Twitter Web App,michelle stirling,0
5/5/2020 5:17,6,TweetDeck,David N. Thomas,10
5/4/2020 15:12,9,Twitter Web App,GO GREEN,10
5/3/2020 11:59,30,Twitter Web App,GO GREEN,25
5/1/2020 17:10,0,Twitter Web App,The Solar Revolution,2
4/30/2020 9:37,2,Twitter Web Client,Akarnious,1
4/28/2020 7:47,0,Twitter for iPhone,Steve Baynes,1
4/27/2020 14:20,2,Hootsuite Inc.,Henry Mintzberg,4
4/26/2020 1:20,1,Hootsuite Inc.,Henry Mintzberg,2
4/25/2020 19:14,0,Instagram,STEⓋE BOZIC,0
4/21/2020 19:46,31,Twitter for iPhone,Assaad Razzouk,38
4/21/2020 17:56,0,GoDaddy Social App,Twyla Dell,1
4/18/2020 22:11,0,Instagram,STEⓋE BOZIC,0
4/18/2020 3:29,0,Twitter Web App,Leo Sutton,2
4/17/2020 16:46,16,Twitter Web Client,@drtimball #climate,23
4/16/2020 6:51,0,JabX.net,pcgame,0
4/15/2020 19:05,0,Twitter for Android,ISRAELPROPHET,0
4/14/2020 9:21,0,Twitter Web Client,Farm Africa,0
4/9/2020 19:56,1,Twitter Web Client,Twyla Dell,2
4/8/2020 17:53,0,Twitter for Android,Usman BalOch🇵🇰,0
4/7/2020 22:51,0,JabX.net,pcgame,0
4/7/2020 3:23,0,JabX.net,pcgame,0
4/5/2020 11:14,0,Twitter Web App,"Tom Gillispie, EDITOR/WRITER",0
4/5/2020 0:29,0,Twitter for iPhone,Rededdy,0
4/3/2020 17:28,0,Twitter Web App,Chittal,0
4/2/2020 19:25,0,Twitter for iPhone,🇺🇸🇺🇸🚩kerts 🏞 🦅🌹🇺🇸🇺🇸,0
4/1/2020 7:27,0,IFTTT,POPapers,0
3/31/2020 8:30,0,TweetDeck,TRF Climate,2
3/30/2020 19:52,0,Spreaker,Charles Moscowitz Author and Podcast Host,0
3/30/2020 11:21,0,Twitter Web App,Climate change 2020,0
3/28/2020 20:55,0,Twittimer,MASKS: ARE FEAR....SPREADING FEAR!!! DANGEROUS!!!,0
3/28/2020 14:57,0,Happy Eco News,Happy Eco News,1
3/28/2020 9:42,0,Instagram,STEⓋE BOZIC,0
3/27/2020 18:19,1,Twitter for iPhone,Mohammad H .S,0
3/26/2020 13:09,0,Twitter Web App,Climate change 2020,0
3/25/2020 14:38,1,Buffer,José Pedro,1
3/24/2020 19:58,0,Twitter Web App,Olivia V. Sanderfoot,2
3/24/2020 11:58,0,Twitter Web App,Climate change 2020,0
3/23/2020 15:53,0,Buffer,Rachel Lincoln Sarnoff,0
3/19/2020 14:36,1,Buffer,CCL San Francisco,2
3/18/2020 23:44,0,Twitter for iPhone,Trev,0
3/17/2020 5:13,0,Twitter Web App,Tor E Aslesen,1
3/15/2020 18:57,0,Twitter for iPhone,Greg Austin,0
3/14/2020 19:31,0,Twitter Web App,Igor Matutinovic,0
3/14/2020 8:09,0,Twitter for Android,Minna,0
3/14/2020 1:35,4,Twitter for iPad,Energy House,4
3/12/2020 10:01,0,Hootsuite Inc.,Better Housing Better Health,1
3/10/2020 7:24,0,IFTTT,POPapers,0
3/9/2020 12:55,11,Twitter Web App,A. Patsemkin,25
3/9/2020 3:08,0,Blog2Social APP,Latest News,0
3/8/2020 17:54,0,ContentStudio.io,Simon Weiner CGMA,0
3/8/2020 0:51,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0
3/5/2020 17:00,22,Twitter Web App,Copernicus ECMWF,36
3/5/2020 14:07,32,Twitter Web App,Mark Z. Jacobson,55
3/4/2020 18:29,14,Twitter Web App,Coral Davenport,30
3/4/2020 5:47,0,Twitter Web Client,Keyboard Justin,0
3/4/2020 4:09,0,Twitter Web Client,Johnny Robish,0
3/3/2020 14:46,8,Twitter Web App,"Brad Rush (CAGW skeptic, fiscal conservative)",30
3/3/2020 14:38,0,Twitter for iPhone,mrs.smith,0
3/2/2020 21:05,0,Twitter for iPhone,Graham Sinclair,2
3/2/2020 8:51,0,Twitter Web App,"Tom Gillispie, WRITER/EDITOR",0
3/1/2020 16:37,0,Spreaker,Peter Timothy Cooper,1
3/1/2020 16:19,0,Twitter Web App,Affiinfinity,3
3/1/2020 7:34,6,Twitter Web App,Global Warming Times,7
2/29/2020 21:44,50,Twitter Web App,hepburn wind,157
2/29/2020 5:58,2,Twitter for iPhone,inspiration,1
2/28/2020 23:16,1,Twitter Web App,ken montler,2
2/28/2020 1:17,0,Twitter for iPhone,Tricia Wingate,0
2/24/2020 4:14,0,Twitter Web App,Frank Sotzik,0
2/23/2020 14:10,2,Hootsuite Inc.,Safe Climate Campaign,0
2/22/2020 23:37,0,Twitter Web App,Concerned #CANZUK 🇬🇧🇳🇿🇨🇦🇦🇺,0
2/22/2020 14:38,0,Twitter for iPhone,P K Singh,0
